Northing Easting
6191925.7235 2715348.2273
6192972.4577 2718906.5816
6195147.8616 2722153.0103
6197345.1752 2724971.1510
6199918.7143 2727801.6622
6202113.9743 2730623.0939
6209824.5424 2738785.5958
6212780.7128 2741291.4855
6215724.9769 2743798.8777
6223117.8011 2749644.2329
6225682.3297 2752491.9001
6233043.3919 2759130.6991
6235604.7178 2761638.5460
6238933.5470 2764086.7516
6241893.0934 2766264.6436
6244832.2127 2768703.5553
6247778.7299 2771231.2401
6251113.4432 2773426.9504
6254050.3369 2775871.1831
6259615.4328 2779364.1583
6264055.9710 2781952.8968
6267390.7526 2784070.3434
6270360.2291 2785828.4726
6273682.8752 2787948.6503
6275086.3955 2791219.9419
6277245.9882 2794433.1222
6280184.2616 2796980.0348
6283110.6323 2799528.3502
6286063.6279 2801643.5926
6288999.6039 2804195.7868
6296443.1416 2807358.1749
6299790.1682 2808708.6687
6303885.4047 2810525.8916
6307635.9378 2811194.9349
6311400.8693 2811777.5459
6314383.6099 2812767.7872
6316925.3208 2815667.1785
6321240.4443 2821440.9306
6325185.5144 2827206.0262
6331352.6052 2833945.4241
6340363.4210 2844766.2081
6349401.7692 2854909.2594
6355212.6354 2860442.5339
6363594.3617 2867773.0232
6369464.1239 2872093.4637
6372361.7361 2875047.9243
6383215.7401 2885791.9722
6389792.1426 2890964.5308
6395673.0139 2894607.5626
6402627.1588 2899458.8219
6408138.6110 2903094.8357
6413624.2854 2907000.2147
6418030.5830 2909791.8560
6423582.3342 2912111.1774
6429158.0018 2914167.9262
6436622.2908 2916233.7126
6442932.9045 2918688.9166
6449637.9720 2920811.2306
6456283.3164 2924092.2968
6461107.3003 2926035.0345
6462169.8901 2870083.4164
6453638.6343 2866317.0548
6445864.4128 2862235.1434
6436199.0067 2858433.4381
6426901.8022 2854566.7775
6418055.2521 2849220.0993
6409209.1717 2843530.0894
6400739.9949 2837778.8607
6393032.0766 2832069.9625
6385728.4834 2825328.2538
6377703.1717 2817600.1656
6369686.3499 2809182.7263
6363145.7976 2802068.6937
6356965.0863 2794979.1950
6350083.0370 2786206.2781
6343162.4568 2777973.8302
6336639.2511 2769242.5867
6331235.2331 2760649.3338
6324302.5867 2752370.5174
6318809.1019 2746161.8739
6315876.4956 2743273.8054
6312520.7142 2741511.7350
6309903.9969 2740646.9515
6308386.8254 2740514.3609
6303839.9456 2741077.5321
6300411.4414 2742109.8829
6298114.3039 2743175.3951
6295476.7316 2743008.6036
6292118.2091 2741337.7151
6290281.7286 2739626.2768
6287287.5606 2738752.8844
6283507.2176 2738553.6916
6279761.1025 2737572.0172
6262467.0885 2734368.2093
6257954.8482 2733368.2477
6254949.8033 2732846.8976
6250803.0286 2732639.7712
6247422.1318 2731674.5886
6244416.9276 2731154.3383
6243674.9782 2730699.6029
6242555.7841 2730234.1057
6239938.8995 2728946.1523
6239571.5696 2728589.1739
6236578.4399 2727637.8660
6225344.1681 2723600.5491
6221596.8073 2722199.4728
6212579.6129 2720222.4000
6208830.8320 2719256.2338
6199444.8107 2716930.2363
6196073.3585 2715546.5006
6192321.5718 2714670.2074
6191925.7235 2715348.2273
6191914.0821 2715778.3434
